,CaseID,Event,Date,timestamp,type,sensor
0,1,1,01.10.21,2021-10-01T08:30:00.000000000,FloorSensor,T10_Bed
1,1,2,01.10.21,2021-10-01T08:30:01.500000000,FloorSensor,T11_Bed-Window5_Bedroom-T8_Window-T4_Kitchen-T3_Kitchen-Chair1_Table-T2_Kitchen-Stove_Stove-T5_Table-T1_Stove-Door2_Bathroom-Door1_Bedroom
2,1,3,01.10.21,2021-10-01T08:30:03.914213562,FloorSensor,T9_Bathroom-Bed_Bed-Window3_Bedroom-T7_Closet
3,1,4,01.10.21,2021-10-01T08:30:05.121320343,PresenceSensor,T11_Bed-Window5_Bedroom-T8_Window-T4_Kitchen-T3_Kitchen-Chair1_Table-T2_Kitchen-Stove_Stove-T5_Table-T1_Stove-Door2_Bathroom-Door1_Bedroom
4,1,281,01.10.21,2021-10-01T09:21:56.417784881,FloorSensor,T10_Bed
5,1,333,01.10.21,2021-10-01T09:26:20.488852691,PresenceSensor,T11_Bed-Window5_Bedroom-T8_Window-T4_Kitchen-T3_Kitchen-Chair1_Table-T2_Kitchen-Stove_Stove-T5_Table-T1_Stove-Door2_Bathroom-Door1_Bedroom
6,1,335,01.10.21,2021-10-01T09:34:07.938600158,FloorSensor,T9_Bathroom-Bed_Bed-Window3_Bedroom-T7_Closet
7,2,525,02.10.21,2021-10-02T08:30:00.000000000,FloorSensor,T10_Bed
8,2,526,02.10.21,2021-10-02T08:30:01.500000000,FloorSensor,T11_Bed-Window5_Bedroom-T8_Window-T4_Kitchen-T3_Kitchen-Chair1_Table-T2_Kitchen-Stove_Stove-T5_Table-T1_Stove-Door2_Bathroom-Door1_Bedroom
9,2,862,02.10.21,2021-10-02T09:33:36.760930633,FloorSensor,T9_Bathroom-Bed_Bed-Window3_Bedroom-T7_Closet
10,2,1004,02.10.21,2021-10-02T09:41:23.417784881,FloorSensor,T10_Bed
11,2,1005,02.10.21,2021-10-02T09:41:29.867532348,FloorSensor,T9_Bathroom-Bed_Bed-Window3_Bedroom-T7_Closet
12,3,1085,03.10.21,2021-10-03T08:30:00.000000000,FloorSensor,T10_Bed
13,3,1086,03.10.21,2021-10-03T08:30:01.500000000,FloorSensor,T11_Bed-Window5_Bedroom-T8_Window-T4_Kitchen-T3_Kitchen-Chair1_Table-T2_Kitchen-Stove_Stove-T5_Table-T1_Stove-Door2_Bathroom-Door1_Bedroom
14,3,1396,03.10.21,2021-10-03T09:25:56.760930633,FloorSensor,T9_Bathroom-Bed_Bed-Window3_Bedroom-T7_Closet
15,3,1544,03.10.21,2021-10-03T09:34:04.417784881,FloorSensor,T10_Bed
16,3,1545,03.10.21,2021-10-03T09:34:10.867532348,FloorSensor,T9_Bathroom-Bed_Bed-Window3_Bedroom-T7_Closet
17,4,1661,04.10.21,2021-10-04T08:30:00.000000000,FloorSensor,T10_Bed
18,4,1662,04.10.21,2021-10-04T08:30:01.500000000,FloorSensor,T11_Bed-Window5_Bedroom-T8_Window-T4_Kitchen-T3_Kitchen-Chair1_Table-T2_Kitchen-Stove_Stove-T5_Table-T1_Stove-Door2_Bathroom-Door1_Bedroom
19,4,1988,04.10.21,2021-10-04T09:31:29.760930633,FloorSensor,T9_Bathroom-Bed_Bed-Window3_Bedroom-T7_Closet
20,4,2127,04.10.21,2021-10-04T09:39:10.417784881,FloorSensor,T10_Bed
21,4,2128,04.10.21,2021-10-04T09:39:16.867532348,FloorSensor,T9_Bathroom-Bed_Bed-Window3_Bedroom-T7_Closet
22,5,2214,05.10.21,2021-10-05T08:30:00.000000000,FloorSensor,T10_Bed
23,5,2215,05.10.21,2021-10-05T08:30:01.500000000,FloorSensor,T11_Bed-Window5_Bedroom-T8_Window-T4_Kitchen-T3_Kitchen-Chair1_Table-T2_Kitchen-Stove_Stove-T5_Table-T1_Stove-Door2_Bathroom-Door1_Bedroom
24,5,2585,05.10.21,2021-10-05T09:37:22.760930633,FloorSensor,T9_Bathroom-Bed_Bed-Window3_Bedroom-T7_Closet
25,5,2751,05.10.21,2021-10-05T09:46:30.417784881,FloorSensor,T10_Bed
26,5,2752,05.10.21,2021-10-05T09:46:36.867532348,FloorSensor,T9_Bathroom-Bed_Bed-Window3_Bedroom-T7_Closet
27,6,2859,06.10.21,2021-10-06T08:30:00.000000000,FloorSensor,T10_Bed
28,6,2860,06.10.21,2021-10-06T08:30:01.500000000,FloorSensor,T11_Bed-Window5_Bedroom-T8_Window-T4_Kitchen-T3_Kitchen-Chair1_Table-T2_Kitchen-Stove_Stove-T5_Table-T1_Stove-Door2_Bathroom-Door1_Bedroom
29,6,3175,06.10.21,2021-10-06T09:33:53.760930633,FloorSensor,T9_Bathroom-Bed_Bed-Window3_Bedroom-T7_Closet
30,6,3324,06.10.21,2021-10-06T09:42:06.417784881,FloorSensor,T10_Bed
31,6,3325,06.10.21,2021-10-06T09:42:12.867532348,FloorSensor,T9_Bathroom-Bed_Bed-Window3_Bedroom-T7_Closet
32,7,3441,07.10.21,2021-10-07T08:30:00.000000000,FloorSensor,T10_Bed
33,7,3442,07.10.21,2021-10-07T08:30:01.500000000,FloorSensor,T11_Bed-Window5_Bedroom-T8_Window-T4_Kitchen-T3_Kitchen-Chair1_Table-T2_Kitchen-Stove_Stove-T5_Table-T1_Stove-Door2_Bathroom-Door1_Bedroom
34,7,3758,07.10.21,2021-10-07T09:28:25.760930633,FloorSensor,T9_Bathroom-Bed_Bed-Window3_Bedroom-T7_Closet
35,7,3932,07.10.21,2021-10-07T09:38:01.417784881,FloorSensor,T10_Bed
36,7,3933,07.10.21,2021-10-07T09:38:07.867532348,FloorSensor,T9_Bathroom-Bed_Bed-Window3_Bedroom-T7_Closet
37,8,4046,08.10.21,2021-10-08T08:30:00.000000000,FloorSensor,T10_Bed
38,8,4047,08.10.21,2021-10-08T08:30:01.500000000,FloorSensor,T11_Bed-Window5_Bedroom-T8_Window-T4_Kitchen-T3_Kitchen-Chair1_Table-T2_Kitchen-Stove_Stove-T5_Table-T1_Stove-Door2_Bathroom-Door1_Bedroom
39,8,4357,08.10.21,2021-10-08T09:33:37.760930633,FloorSensor,T9_Bathroom-Bed_Bed-Window3_Bedroom-T7_Closet
40,8,4508,08.10.21,2021-10-08T09:41:55.417784881,FloorSensor,T10_Bed
41,8,4509,08.10.21,2021-10-08T09:42:01.867532348,FloorSensor,T9_Bathroom-Bed_Bed-Window3_Bedroom-T7_Closet
42,9,4649,09.10.21,2021-10-09T08:30:00.000000000,FloorSensor,T10_Bed
